RprtDt,StateCd,Questionnaire,Indicator number,Indicator description,Percentage
31-12-2024,ACT,Participant starting school to 14,8,% of children attending school in a mainstream class,0.84
31-12-2024,ALL,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.25
31-12-2024,ALL,Participant starting school to 14,2,% who say their child is becoming more independent,0.38
31-12-2024,ALL,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.77
31-12-2024,ALL,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.64
31-12-2024,ALL,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.40
31-12-2024,ALL,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.73
31-12-2024,ALL,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.13
31-12-2024,ALL,Participant starting school to 14,8,% of children attending school in a mainstream class,0.76
31-12-2024,NSW,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.26
31-12-2024,NSW,Participant starting school to 14,2,% who say their child is becoming more independent,0.39
31-12-2024,NSW,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.73
31-12-2024,NSW,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.65
31-12-2024,NSW,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.41
31-12-2024,NSW,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.74
31-12-2024,NSW,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.12
31-12-2024,NSW,Participant starting school to 14,8,% of children attending school in a mainstream class,0.71
31-12-2024,NT,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.21
31-12-2024,NT,Participant starting school to 14,2,% who say their child is becoming more independent,0.31
31-12-2024,NT,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.74
31-12-2024,NT,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.68
31-12-2024,NT,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.36
31-12-2024,NT,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.75
31-12-2024,NT,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.21
31-12-2024,NT,Participant starting school to 14,8,% of children attending school in a mainstream class,0.67
31-12-2024,QLD,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.25
31-12-2024,QLD,Participant starting school to 14,2,% who say their child is becoming more independent,0.38
31-12-2024,QLD,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.79
31-12-2024,QLD,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.65
31-12-2024,QLD,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.37
31-12-2024,QLD,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.74
31-12-2024,QLD,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.12
31-12-2024,QLD,Participant starting school to 14,8,% of children attending school in a mainstream class,0.75
31-12-2024,SA,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.26
31-12-2024,SA,Participant starting school to 14,2,% who say their child is becoming more independent,0.44
31-12-2024,SA,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.85
31-12-2024,SA,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.69
31-12-2024,SA,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.43
31-12-2024,SA,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.75
31-12-2024,SA,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.15
31-12-2024,SA,Participant starting school to 14,8,% of children attending school in a mainstream class,0.86
31-12-2024,TAS,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.28
31-12-2024,TAS,Participant starting school to 14,2,% who say their child is becoming more independent,0.42
31-12-2024,TAS,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.80
31-12-2024,TAS,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.67
31-12-2024,TAS,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.32
31-12-2024,TAS,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.74
31-12-2024,TAS,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.14
31-12-2024,TAS,Participant starting school to 14,8,% of children attending school in a mainstream class,0.86
31-12-2024,VIC,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.23
31-12-2024,VIC,Participant starting school to 14,2,% who say their child is becoming more independent,0.35
31-12-2024,VIC,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.76
31-12-2024,VIC,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.62
31-12-2024,VIC,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.40
31-12-2024,VIC,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.71
31-12-2024,VIC,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.14
31-12-2024,VIC,Participant starting school to 14,8,% of children attending school in a mainstream class,0.78
31-12-2024,WA,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.27
31-12-2024,WA,Participant starting school to 14,2,% who say their child is becoming more independent,0.39
31-12-2024,WA,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.77
31-12-2024,WA,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.62
31-12-2024,WA,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.40
31-12-2024,WA,Participant starting school to 14,6,"Of these, % who are welcomed or actively included",0.73
31-12-2024,WA,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.14
31-12-2024,WA,Participant starting school to 14,8,% of children attending school in a mainstream class,0.76
31-12-2024,ACT,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.30
31-12-2024,ACT,Participant 15 to 24,2,% who choose who supports them,0.51
31-12-2024,ACT,Participant 15 to 24,3,% who choose what they do each day,0.59
31-12-2024,ACT,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.23
31-12-2024,ACT,Participant 15 to 24,5,% who want more choice and control in their life,0.77
31-12-2024,ACT,Participant 15 to 24,6,% with no friends other than family or paid staff,0.26
31-12-2024,ACT,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.30
31-12-2024,ACT,Participant 15 to 24,8,% who are happy with their home,0.77
31-12-2024,ACT,Participant 15 to 24,9,% who feel safe or very safe in their home,0.85
31-12-2024,ACT,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.56
31-12-2024,ACT,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.67
31-12-2024,ACT,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.72
31-12-2024,ACT,Participant 15 to 24,13,% who have a paid job,0.26
31-12-2024,ACT,Participant 15 to 24,14,% who volunteer,0.11
31-12-2024,ALL,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.30
31-12-2024,ALL,Participant 15 to 24,2,% who choose who supports them,0.40
31-12-2024,ALL,Participant 15 to 24,3,% who choose what they do each day,0.50
31-12-2024,ALL,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.19
31-12-2024,ALL,Participant 15 to 24,5,% who want more choice and control in their life,0.81
31-12-2024,ALL,Participant 15 to 24,6,% with no friends other than family or paid staff,0.33
31-12-2024,ALL,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.29
31-12-2024,ALL,Participant 15 to 24,8,% who are happy with their home,0.79
31-12-2024,ALL,Participant 15 to 24,9,% who feel safe or very safe in their home,0.83
31-12-2024,ALL,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.65
31-12-2024,ALL,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.66
31-12-2024,ALL,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.46
31-12-2024,ALL,Participant 15 to 24,13,% who have a paid job,0.18
31-12-2024,ALL,Participant 15 to 24,14,% who volunteer,0.10
31-12-2024,NSW,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.31
31-12-2024,NSW,Participant 15 to 24,2,% who choose who supports them,0.38
31-12-2024,NSW,Participant 15 to 24,3,% who choose what they do each day,0.48
31-12-2024,NSW,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.20
31-12-2024,NSW,Participant 15 to 24,5,% who want more choice and control in their life,0.80
31-12-2024,NSW,Participant 15 to 24,6,% with no friends other than family or paid staff,0.32
31-12-2024,NSW,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.28
31-12-2024,NSW,Participant 15 to 24,8,% who are happy with their home,0.80
31-12-2024,NSW,Participant 15 to 24,9,% who feel safe or very safe in their home,0.85
31-12-2024,NSW,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.66
31-12-2024,NSW,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.66
31-12-2024,NSW,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.41
31-12-2024,NSW,Participant 15 to 24,13,% who have a paid job,0.17
31-12-2024,NSW,Participant 15 to 24,14,% who volunteer,0.09
31-12-2024,NT,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.22
31-12-2024,NT,Participant 15 to 24,2,% who choose who supports them,0.34
31-12-2024,NT,Participant 15 to 24,3,% who choose what they do each day,0.41
31-12-2024,NT,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.15
31-12-2024,NT,Participant 15 to 24,5,% who want more choice and control in their life,0.82
31-12-2024,NT,Participant 15 to 24,6,% with no friends other than family or paid staff,0.32
31-12-2024,NT,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.36
31-12-2024,NT,Participant 15 to 24,8,% who are happy with their home,0.69
31-12-2024,NT,Participant 15 to 24,9,% who feel safe or very safe in their home,0.78
31-12-2024,NT,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.72
31-12-2024,NT,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.68
31-12-2024,NT,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.36
31-12-2024,NT,Participant 15 to 24,13,% who have a paid job,0.12
31-12-2024,NT,Participant 15 to 24,14,% who volunteer,0.08
31-12-2024,QLD,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.29
31-12-2024,QLD,Participant 15 to 24,2,% who choose who supports them,0.41
31-12-2024,QLD,Participant 15 to 24,3,% who choose what they do each day,0.50
31-12-2024,QLD,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.18
31-12-2024,QLD,Participant 15 to 24,5,% who want more choice and control in their life,0.83
31-12-2024,QLD,Participant 15 to 24,6,% with no friends other than family or paid staff,0.35
31-12-2024,QLD,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.29
31-12-2024,QLD,Participant 15 to 24,8,% who are happy with their home,0.77
31-12-2024,QLD,Participant 15 to 24,9,% who feel safe or very safe in their home,0.82
31-12-2024,QLD,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.64
31-12-2024,QLD,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.64
31-12-2024,QLD,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.43
31-12-2024,QLD,Participant 15 to 24,13,% who have a paid job,0.18
31-12-2024,QLD,Participant 15 to 24,14,% who volunteer,0.10
31-12-2024,SA,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.38
31-12-2024,SA,Participant 15 to 24,2,% who choose who supports them,0.48
31-12-2024,SA,Participant 15 to 24,3,% who choose what they do each day,0.58
31-12-2024,SA,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.18
31-12-2024,SA,Participant 15 to 24,5,% who want more choice and control in their life,0.79
31-12-2024,SA,Participant 15 to 24,6,% with no friends other than family or paid staff,0.30
31-12-2024,SA,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.30
31-12-2024,SA,Participant 15 to 24,8,% who are happy with their home,0.80
31-12-2024,SA,Participant 15 to 24,9,% who feel safe or very safe in their home,0.86
31-12-2024,SA,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.67
31-12-2024,SA,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.73
31-12-2024,SA,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.52
31-12-2024,SA,Participant 15 to 24,13,% who have a paid job,0.22
31-12-2024,SA,Participant 15 to 24,14,% who volunteer,0.10
31-12-2024,TAS,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.38
31-12-2024,TAS,Participant 15 to 24,2,% who choose who supports them,0.49
31-12-2024,TAS,Participant 15 to 24,3,% who choose what they do each day,0.59
31-12-2024,TAS,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.20
31-12-2024,TAS,Participant 15 to 24,5,% who want more choice and control in their life,0.82
31-12-2024,TAS,Participant 15 to 24,6,% with no friends other than family or paid staff,0.32
31-12-2024,TAS,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.22
31-12-2024,TAS,Participant 15 to 24,8,% who are happy with their home,0.75
31-12-2024,TAS,Participant 15 to 24,9,% who feel safe or very safe in their home,0.83
31-12-2024,TAS,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.63
31-12-2024,TAS,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.66
31-12-2024,TAS,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.69
31-12-2024,TAS,Participant 15 to 24,13,% who have a paid job,0.13
31-12-2024,TAS,Participant 15 to 24,14,% who volunteer,0.09
31-12-2024,VIC,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.26
31-12-2024,VIC,Participant 15 to 24,2,% who choose who supports them,0.40
31-12-2024,VIC,Participant 15 to 24,3,% who choose what they do each day,0.50
31-12-2024,VIC,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.19
31-12-2024,VIC,Participant 15 to 24,5,% who want more choice and control in their life,0.82
31-12-2024,VIC,Participant 15 to 24,6,% with no friends other than family or paid staff,0.34
31-12-2024,VIC,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.27
31-12-2024,VIC,Participant 15 to 24,8,% who are happy with their home,0.78
31-12-2024,VIC,Participant 15 to 24,9,% who feel safe or very safe in their home,0.82
31-12-2024,VIC,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.63
31-12-2024,VIC,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.64
31-12-2024,VIC,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.48
31-12-2024,VIC,Participant 15 to 24,13,% who have a paid job,0.17
31-12-2024,VIC,Participant 15 to 24,14,% who volunteer,0.08
31-12-2024,WA,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.32
31-12-2024,WA,Participant 15 to 24,2,% who choose who supports them,0.41
31-12-2024,WA,Participant 15 to 24,3,% who choose what they do each day,0.51
31-12-2024,WA,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.18
31-12-2024,WA,Participant 15 to 24,5,% who want more choice and control in their life,0.74
31-12-2024,WA,Participant 15 to 24,6,% with no friends other than family or paid staff,0.35
31-12-2024,WA,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.33
31-12-2024,WA,Participant 15 to 24,8,% who are happy with their home,0.79
31-12-2024,WA,Participant 15 to 24,9,% who feel safe or very safe in their home,0.82
31-12-2024,WA,Participant 15 to 24,10,"% who rate their health as good, very good or excellent",0.68
31-12-2024,WA,Participant 15 to 24,11,% who did not have any difficulties accessing health services,0.76
31-12-2024,WA,Participant 15 to 24,12,% who currently attend or previously attended school in a mainstream class,0.50
31-12-2024,WA,Participant 15 to 24,13,% who have a paid job,0.22
31-12-2024,WA,Participant 15 to 24,14,% who volunteer,0.13
31-12-2024,ACT,Participant 25 and over,1,% who choose who supports them,0.71
31-12-2024,ACT,Participant 25 and over,2,% who choose what they do each day,0.78
31-12-2024,ACT,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.29
31-12-2024,ACT,Participant 25 and over,4,% who want more choice and control in their life,0.72
31-12-2024,ACT,Participant 25 and over,5,% with no friends other than family or paid staff,0.29
31-12-2024,ACT,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.32
31-12-2024,ACT,Participant 25 and over,7,% who are happy with their home,0.66
31-12-2024,ACT,Participant 25 and over,8,% who feel safe or very safe in their home,0.66
31-12-2024,ACT,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.37
31-12-2024,ACT,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.60
31-12-2024,ACT,Participant 25 and over,11,"% who participate in education, training or skill development",0.13
31-12-2024,ACT,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.86
31-12-2024,ACT,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.40
31-12-2024,ACT,Participant 25 and over,14,% who have a paid job,0.33
31-12-2024,ACT,Participant 25 and over,15,% who volunteer,0.13
31-12-2024,ALL,Participant 25 and over,1,% who choose who supports them,0.65
31-12-2024,ALL,Participant 25 and over,2,% who choose what they do each day,0.72
31-12-2024,ALL,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.24
31-12-2024,ALL,Participant 25 and over,4,% who want more choice and control in their life,0.77
31-12-2024,ALL,Participant 25 and over,5,% with no friends other than family or paid staff,0.33
31-12-2024,ALL,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.31
31-12-2024,ALL,Participant 25 and over,7,% who are happy with their home,0.68
31-12-2024,ALL,Participant 25 and over,8,% who feel safe or very safe in their home,0.67
31-12-2024,ALL,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.40
31-12-2024,ALL,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.61
31-12-2024,ALL,Participant 25 and over,11,"% who participate in education, training or skill development",0.09
31-12-2024,ALL,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.67
31-12-2024,ALL,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.36
31-12-2024,ALL,Participant 25 and over,14,% who have a paid job,0.22
31-12-2024,ALL,Participant 25 and over,15,% who volunteer,0.10
31-12-2024,NSW,Participant 25 and over,1,% who choose who supports them,0.63
31-12-2024,NSW,Participant 25 and over,2,% who choose what they do each day,0.71
31-12-2024,NSW,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.25
31-12-2024,NSW,Participant 25 and over,4,% who want more choice and control in their life,0.76
31-12-2024,NSW,Participant 25 and over,5,% with no friends other than family or paid staff,0.33
31-12-2024,NSW,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.31
31-12-2024,NSW,Participant 25 and over,7,% who are happy with their home,0.68
31-12-2024,NSW,Participant 25 and over,8,% who feel safe or very safe in their home,0.67
31-12-2024,NSW,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.40
31-12-2024,NSW,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.61
31-12-2024,NSW,Participant 25 and over,11,"% who participate in education, training or skill development",0.10
31-12-2024,NSW,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.68
31-12-2024,NSW,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.35
31-12-2024,NSW,Participant 25 and over,14,% who have a paid job,0.23
31-12-2024,NSW,Participant 25 and over,15,% who volunteer,0.10
31-12-2024,NT,Participant 25 and over,1,% who choose who supports them,0.55
31-12-2024,NT,Participant 25 and over,2,% who choose what they do each day,0.65
31-12-2024,NT,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.19
31-12-2024,NT,Participant 25 and over,4,% who want more choice and control in their life,0.78
31-12-2024,NT,Participant 25 and over,5,% with no friends other than family or paid staff,0.31
31-12-2024,NT,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.41
31-12-2024,NT,Participant 25 and over,7,% who are happy with their home,0.57
31-12-2024,NT,Participant 25 and over,8,% who feel safe or very safe in their home,0.60
31-12-2024,NT,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.42
31-12-2024,NT,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.51
31-12-2024,NT,Participant 25 and over,11,"% who participate in education, training or skill development",0.04
31-12-2024,NT,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.74
31-12-2024,NT,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.28
31-12-2024,NT,Participant 25 and over,14,% who have a paid job,0.16
31-12-2024,NT,Participant 25 and over,15,% who volunteer,0.07
31-12-2024,QLD,Participant 25 and over,1,% who choose who supports them,0.66
31-12-2024,QLD,Participant 25 and over,2,% who choose what they do each day,0.72
31-12-2024,QLD,Participant 25 and over,3,% who had been given the opportunity to participate in a self-advocacy group meeting,0.24
31-12-2024,QLD,Participant 25 and over,4,% who want more choice and control in their life,0.80
31-12-2024,QLD,Participant 25 and over,5,% with no friends other than family or paid staff,0.34
31-12-2024,QLD,Participant 25 and over,6,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.32
31-12-2024,QLD,Participant 25 and over,7,% who are happy with their home,0.66
31-12-2024,QLD,Participant 25 and over,8,% who feel safe or very safe in their home,0.65
31-12-2024,QLD,Participant 25 and over,9,"% who rate their health as good, very good or excellent",0.39
31-12-2024,QLD,Participant 25 and over,10,% who did not have any difficulties accessing health services,0.58
31-12-2024,QLD,Participant 25 and over,11,"% who participate in education, training or skill development",0.08
31-12-2024,QLD,Participant 25 and over,12,"Of those who participate, % who do so in mainstream settings",0.72
31-12-2024,QLD,Participant 25 and over,13,% unable to do a course or training they wanted to do in the last 12 months,0.38
31-12-2024,QLD,Participant 25 and over,14,% who have a paid job,0.20
