RprtDt,StateCd,Number of plan reassessments,Questionnaire,Indicator number,Indicator description,percentage Baseline,percentage Reassessment 1,percentage Reassessment 2,percentage Reassessment 3,percentage Reassessment 4,percentage Reassessment 5,percentage Reassessment 6,percentage Reassessment 7,percentage Reassessment 8
31/12/2024,ALL,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.68,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.70,0.77,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.64,0.77,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.51,0.58,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.42,0.44,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.61,0.65,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.93,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.94,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.87,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.85,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.73,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.62,0.68,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.54,0.70,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.43,0.47,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.58,0.66,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.63,0.69,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.73,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.80,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.57,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.53,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.49,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.68,0.74,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.62,0.74,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.55,0.60,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.44,0.46,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.64,0.66,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.90,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.92,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.81,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.80,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.68,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.71,0.80,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.63,0.77,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.48,0.56,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.47,0.44,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.63,0.66,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.94,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.95,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.86,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.83,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.69,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.59,0.62,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.63,0.79,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.54,0.62,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.53,0.57,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.60,0.64,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.85,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.86,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.79,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.73,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.66,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.71,0.78,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.64,0.75,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.47,0.51,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.44,0.45,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.61,0.64,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.88,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.89,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.80,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.78,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.63,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,1,"% with concerns in 6 or more of the areas: gross motor skills, fine motor skills, self-care, eating, social interaction, communication, cognitive development, sensory processing",0.69,0.77,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,2,% who say their child is able to tell them what he/she wants,0.49,0.66,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,3,% of children who can make friends with people outside the family,0.39,0.47,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,4,"% of children who participate in age appropriate community, cultural or religious activities",0.45,0.46,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,5,"Of these, % who are welcomed or actively included",0.59,0.59,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,6,Has the NDIS improved your child's development?,na,0.87,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,7,Has the NDIS improved your child's access to specialist services?,na,0.90,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,8,Has the NDIS helped increase your child's ability to communicate what they want?,na,0.78,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,9,Has the NDIS improved how your child fits into family life?,na,0.70,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant 0 to before school,10,Has the NDIS improved how your child fits into community life?,na,0.54,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.31,0.35,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.49,0.57,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.84,0.85,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.69,0.70,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.44,0.42,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.71,0.69,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.14,0.13,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.82,0.76,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.75,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.53,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.65,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.62,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.28,0.28,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.42,0.47,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.75,0.77,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.64,0.65,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.36,0.36,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.74,0.73,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.11,0.11,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.78,0.75,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.67,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.48,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.57,na,na,na,na,na,na,na
31/12/2024,ALL,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.51,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.31,0.31,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.44,0.49,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.73,0.75,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.67,0.68,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.38,0.38,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.75,0.74,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.10,0.10,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.74,0.69,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.68,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.49,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.59,na,na,na,na,na,na,na
31/12/2024,NSW,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.52,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.21,0.19,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.29,0.33,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.71,0.73,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.66,0.69,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.32,0.31,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.78,0.73,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.16,0.16,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.61,0.56,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.56,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.40,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.50,na,na,na,na,na,na,na
31/12/2024,NT,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.46,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.28,0.28,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.41,0.48,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.74,0.76,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.63,0.65,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.33,0.33,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.74,0.74,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.10,0.10,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.77,0.73,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.69,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.50,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.60,na,na,na,na,na,na,na
31/12/2024,QLD,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.54,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.29,0.29,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.49,0.53,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.84,0.85,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.68,0.69,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.40,0.39,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.76,0.74,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.13,0.13,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.86,0.83,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.71,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.51,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.59,na,na,na,na,na,na,na
31/12/2024,SA,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.53,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.29,0.32,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.47,0.52,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.81,0.83,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.69,0.70,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.29,0.32,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.78,0.78,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.12,0.12,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.89,0.88,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.65,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.39,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.53,na,na,na,na,na,na,na
31/12/2024,TAS,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.50,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.26,0.25,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.39,0.44,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.75,0.76,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.62,0.62,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.35,0.35,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.72,0.70,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.12,0.12,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.81,0.79,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.63,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.43,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.53,na,na,na,na,na,na,na
31/12/2024,VIC,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.47,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,1,"% developing functional, learning and coping skills appropriate to their ability and circumstances",0.28,0.28,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,2,% who say their child is becoming more independent,0.39,0.46,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,3,% of children who have a genuine say in decisions about themselves,0.74,0.75,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,4,% of children who can make friends with people outside the family,0.59,0.62,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,5,% of children who spend time after school and on weekends with friends and/or in mainstream programs,0.38,0.37,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,6,"Of those, % who are welcomed or actively include",0.75,0.73,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,7,% of children who spend time with friends without an adult present,0.13,0.13,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,8,% of children attending school in a mainstream class,0.75,0.72,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,9,Has the NDIS helped your child to become more independent?,na,0.68,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,10,Has the NDIS improved your child's access to education?,na,0.50,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,11,Has the NDIS improved your child's relationships with family and friends?,na,0.56,na,na,na,na,na,na,na
31/12/2024,WA,1,Participant starting school to 14,12,Has the NDIS improved your child's social and recreational life?,na,0.52,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,1,% who are happy with the level of independence/control they have now,0.30,0.30,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,2,% who choose who supports them,0.45,0.41,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,3,% who choose what they do each day,0.60,0.59,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,4,% who had been given the opportunity to participate in a self-advocacy group meeting,0.22,0.23,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,5,% who want more choice and control in their life,0.75,0.81,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,6,% with no friends other than family or paid staff,0.26,0.26,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,7,"% who have been actively involved in a community, cultural or religious group in the last 12 months",0.36,0.34,na,na,na,na,na,na,na
31/12/2024,ACT,1,Participant 15 to 24,8,% who are happy with their home,0.82,0.81,na,na,na,na,na,na,na
